"year","hour","solar","solardiff","temp","rh","windspeed","precip","doy"
2006,12,6.3522653544185e-17,1.11127424240112,16.7022647857666,0.763040542602539,9.73429870605469,0.0153300035744905,304
2006,13,6.3522653544185e-17,1.11127424240112,16.7022647857666,0.763040542602539,9.73429870605469,0.0153300035744905,304
2006,14,6.3522653544185e-17,1.11127424240112,16.7022647857666,0.763040542602539,9.73429870605469,0.0153300035744905,304
2006,15,0.293771505355835,259.155151367188,16.5817203521729,0.83612334728241,9.9913854598999,0.0386245585978031,304
2006,16,0.293771505355835,259.155151367188,16.5817203521729,0.83612334728241,9.9913854598999,0.0386245585978031,304
2006,17,0.293771505355835,259.155151367188,16.5817203521729,0.83612334728241,9.9913854598999,0.0386245585978031,304
2006,18,0.392640084028244,345.106628417969,16.6196842193604,0.564431071281433,9.68517398834229,0.0599483139812946,304
2006,19,0.392640084028244,345.106628417969,16.6196842193604,0.564431071281433,9.68517398834229,0.0599483139812946,304
2006,20,0.392640084028244,345.106628417969,16.6196842193604,0.564431071281433,9.68517398834229,0.0599483139812946,304
2006,21,102.442764282227,307.622650146484,14.6634464263916,0.483364254236221,7.36283779144287,0,304
2006,22,102.442764282227,307.622650146484,14.6634464263916,0.483364254236221,7.36283779144287,0,304
2006,23,102.442764282227,307.622650146484,14.6634464263916,0.483364254236221,7.36283779144287,0,304
2006,0,0,0,12.1011600494385,0.412514418363571,6.13686418533325,0,305
2006,1,0,0,12.1011600494385,0.412514418363571,6.13686418533325,0,305
2006,2,0,0,12.1011600494385,0.412514418363571,6.13686418533325,0,305
2006,3,0,0,7.01918935775757,0.481515675783157,6.21034860610962,0,305
2006,4,0,0,7.01918935775757,0.481515675783157,6.21034860610962,0,305
2006,5,0,0,7.01918935775757,0.481515675783157,6.21034860610962,0,305
2006,6,0,0,4.92861318588257,0.509257733821869,6.05738687515259,0,305
2006,7,0,0,4.92861318588257,0.509257733821869,6.05738687515259,0,305
2006,8,0,0,4.92861318588257,0.509257733821869,6.05738687515259,0,305
2006,9,0,0,2.71346426010132,0.545785903930664,5.72047758102417,8.81084986303904e-07,305
2006,10,0,0,2.71346426010132,0.545785903930664,5.72047758102417,8.81084986303904e-07,305
2006,11,0,0,2.71346426010132,0.545785903930664,5.72047758102417,8.81084986303904e-07,305
2006,12,1.42791645342663e-14,2.785973072052,1.59002077579498,0.555768549442291,4.88072443008423,0,305
2006,13,1.42791645342663e-14,2.785973072052,1.59002077579498,0.555768549442291,4.88072443008423,0,305
2006,14,1.42791645342663e-14,2.785973072052,1.59002077579498,0.555768549442291,4.88072443008423,0,305
